Lista de Productos,Precios,Descuento,Marca,Supermercado
Helado de vainilla con stevia de 50 g,S/  4.90,,Arveja partida Tottus de 500 g,Tottus
GELATINA SABOR NARANJA LIGHT TOTTUS X 22G,S/  2.90,,Por Tottus,Tottus
Harina de Quinua 500 g,S/  33.90,,GENERICO,Tottus
Salsa Verde Peruana Casa Verde de 190 g,S/  8.70,,Harina de Quinua 500 g,Tottus
PASTA SPAGHETTI SIN GLUTEN X400GR,S/  13.50,21%,Por Tottus,Tottus
Vinagre de vino tinto Venturo 600 mL,S/  4.90,,CASA VERDE,Tottus
NATURANDES LINAZA X 150 G,S/  6.20,,Salsa Verde Peruana Casa Verde de 190 g,Tottus
Alcachofa a la parrilla Casa Verde 220 g,S/  8.70,,Por Tottus,Tottus
Pack de Sazonador Panquita Sibarita 3 unidades,S/  3.20,,MOLINOS DEL MUNDO,Tottus
Tapenade de Aceitunas y Alcachofa de 185 g,S/  4.90,38%,PASTA SPAGHETTI SIN GLUTEN X400GR,Tottus
Filete de atún claro en aceite Campomar 170 g,S/  6.90,,Por Tottus,Tottus
Gansito Marinela 50 g,S/  2.70,,VENTURO,Tottus
ADEREZO ESPECIAL X 90 GR,S/  3.65,,Vinagre de vino tinto Venturo 600 mL,Tottus
Pudín de Butterscotch 4 unidades,S/  16.50,,Por Tottus,Tottus
Vegetales mixtos en conserva de 425 g,S/  8.80,,VALLE FERTIL,Tottus
Arroz Extra Vallenorte 750 gr,S/  4.80,,Vegetales mixtos en conserva de 425 g,Tottus
Salsa de Culantro Sibarita 100 g,S/  2.20,,Por Tottus,Tottus
Salsa Huancaína Casa Verde,S/  5.09,,VALLENORTE,Tottus
Tomillo entero 5 g,S/  3.70,,Arroz Extra Vallenorte 750 gr,Tottus
Dip de alcachofa a la parmesana Casa Verde 200 g,S/  8.90,,Por Tottus,Tottus
Vinagreta a la mostaza 200 mL,S/  8.90,,SIBARITA,Tottus
Frijol Castilla 500 g,S/  5.60,,Salsa de Culantro Sibarita 100 g,Tottus
Tottus Orégano Entero 10 g,S/  1.40,,Por Tottus,Tottus
Cereal Bar Costa Manzana Canela 18 Unidades 12g,S/  6.60,,CASA VERDE,Tottus
Fideos Spaghetti Dr. Schär Sin Gluten 250 g,S/  15.50,,Salsa Huancaína Casa Verde,Tottus
Ketchup artesanal Ayni 280 gr,S/  16.40,,Por Tottus,Tottus
Salsa de Ají Limo 165 gr,S/  12.70,,SPITZE,Tottus
Sillao Kikko 350 mL,S/  3.20,,Salsa de Ají Limo 165 gr,Tottus
Fideo Tornillo Nicolini de 250 g,S/  1.90,,Por Tottus,Tottus
Vinagreta a la mostaza de 340 mL,S/  12.40,,KIKKO,Tottus
Fideos Trigrano Fusilli América Orgánica de 227 g,S/  14.30,,Sillao Kikko 350 mL,Tottus
Mostaza al curry con vinagre Clovis 200 g,S/  18.30,,Por Tottus,Tottus
LINAZA  500GR,S/  10.90,,,Tottus
Mayonesa Tottus de 475 g,S/  9.10,,Fideo Tornillo Nicolini de 250 g,Tottus
Confites surtidos 2 Cerros 125 g,S/  8.90,,Por Tottus,Tottus
Orégano entero 18 g,S/  3.30,,EL OLIVAR,Tottus
Tomillo Tottus 10 g,S/  2,,Vinagreta a la mostaza de 340 mL,Tottus
Aderezo para Pavo 2 Banderas 300 g,S/  8.90,,Por Tottus,Tottus
Frijol en conserva Bush's de 794 g,S/  22,,BUSHS,Tottus
Pancake Mix 454 g,S/  79,,Frijol en conserva Bush's de 794 g,Tottus
Frijoles vegetarianos Bush's en conserva de 794 g,S/  22,,Por Tottus,Tottus
Fideo Eliche Tricolor Agnesi 500 g,S/  14.90,,LAKANTO,Tottus
Tapenade Ají Limo 260 gr,S/  14.70,,Pancake Mix 454 g,Tottus
Salsa BBQ Teriyaki 473 g,S/  30.90,,Por Tottus,Tottus
Fideo Linguini Tottus 500 g,S/  4.50,,BUSHS,Tottus
Mayonesa Libby's 100 g,S/  3.95,,Frijoles vegetarianos Bush's en conserva de 794 g,Tottus
Mazamorra Universal de Piña de 150 g,S/  3.80,,Por Tottus,Tottus
Aderezo Criollo BBQ 2 Banderas 90 g,S/  3.45,,AGNESI,Tottus
Fideos Rigatoni Divini 500 g,S/  6.45,,Fideo Eliche Tricolor Agnesi 500 g,Tottus
Pimienta negra molida 15 g,S/  4.70,,Por Tottus,Tottus
