Lista de Productos,Precios,Descuento,Marca,Supermercado,Image URL,Lista de Productos Normalizados
sólido de caballa en aceite campomar 170 g,S/  5.70,,Por Tottus,Tottus,,[CLS] só ##lido de ca ##ball ##a en aceite campo ##mar 170 g [SEP]
tallarín multicereal 450 g,S/  3.20,,MAGGI,Tottus,,[CLS] talla ##rí ##n multi ##cere ##al 450 g [SEP]
aceite oliva os  extr virgen 200 ml,S/  18.90,,Cubo de Sabor Gallina Maggi 8 unidades,Tottus,,[CLS] aceite oli ##va os ex ##tr vir ##gen 200 ml [SEP]
paneton dolcci bolsa x 800gr,S/  14.63,25%,Por Tottus,Tottus,,[CLS] pan ##eton do ##lc ##ci bol ##sa x 800 ##gr [SEP]
arroz basmati scotti 500 g,S/  24.10,,DON VITTORIO,Tottus,,[CLS] arroz bas ##mati s ##cott ##i 500 g [SEP]
dulce de leche heladero tottus x 550g,S/  16.50,,Fideos de Trigo Tornillo Don Vittorio 500 g,Tottus,,[CLS] dulce de lec ##he hela ##dero tot ##tus x 550 ##g [SEP]
harina sin preparar,S/  6.90,,Por Tottus,Tottus,,[CLS] hari ##na sin preparar [SEP]
ají pollero casa verde,S/  4.40,,CASA VERDE,Tottus,,[CLS] aj ##í poll ##ero casa verde [SEP]
arroz extra costeño de 750 g,S/  4.90,,Ají Pollero Casa Verde,Tottus,,[CLS] arroz extra coste ##ño de 750 g [SEP]
mezcla para brownies de 313 g,S/  9.50,,Por Tottus,Tottus,,[CLS] mezcla para brown ##ies de 313 g [SEP]
bimboletes minix x 130g,S/  7.90,,COSTENO,Tottus,,[CLS] bi ##mbol ##etes mini ##x x 130 ##g [SEP]
chuño bolsa de 180 g,S/  3.60,,Arroz Extra Costeño de 750 g,Tottus,,[CLS] chu ##ño bol ##sa de 180 g [SEP]
fideos nicolini spaghetti 950 g,S/  5.90,,Por Tottus,Tottus,,[CLS] fi ##deo ##s nic ##olin ##i sp ##agh ##etti 950 g [SEP]
rodajas de piña en conserva tottus 565 gr,S/  7.10,,KATZEL,Tottus,,[CLS] roda ##jas de pi ##ña en conserva tot ##tus 565 gr [SEP]
aceite de oliva puro el olivar 500 ml,S/  25.90,,Mezcla para brownies de 313 g,Tottus,,[CLS] aceite de oli ##va puro el oli ##var 500 ml [SEP]
