Lista de Productos,Precios,Descuento,Marca,Supermercado,Image URL,Lista de Productos Normalizados
tallarín saltado ajinomen 100 g,S/  2.20,,COSTA,Tottus,,tallarin salt ajinom 100 g
pre mezcla fudge brownie tottus 310 g,S/  7.50,,Cereal Bar Chips 8 Unidades 21g,Tottus,,pre mezcl fudg browni tottus 310 g
pack de vinagre de manzana de 2 unidades,S/  24.10,,Por Tottus,Tottus,,pack vinagr manzan 2 unidad
mezcla para arroz con pollo seco y aguadito provenzal 58 g,S/  9,,SIBARITA,Tottus,,mezcl arroz poll sec aguadit provenzal 58 g
pimienta negra molida tottus 60 g,S/  8.40,,Ajo molido Sibarita Siba de 250 g,Tottus,,pimient negr mol tottus 60 g
salsa de tomate pomarola casera hongo laurel 390g,S/  5.60,,Por Tottus,Tottus,,sals tomat pomarol caser hong laurel 390g
fideos tornillo tricolor molitalia de 250 g,S/  2.90,,MOLITALIA,Tottus,,fide tornill tricolor molitali 250 g
fideos spaghettoni ruvidi giuseppe ferro 500 g,S/  6.45,,Fideos Tornillo Tricolor Molitalia de 250 g,Tottus,,fide spaghettoni ruvidi giusepp ferr 500 g
arroz extra tottus 750 g,S/  4.10,,Por Tottus,Tottus,,arroz extra tottus 750 g
ajonjolí tottus 20 g,S/  2.10,,GIUSEPPE FERRO,Tottus,,ajonjol tottus 20 g
sopa instantánea ajinomen sabor pollo con verduras 80 g,S/  1.60,,Fideos Spaghettoni Ruvidi Giuseppe Ferro 500 g,Tottus,,sop instantane ajinom sabor poll verdur 80 g
salsa vinagreta de mostaza y pimienta en alacena doypack de 190 g,S/  5.10,,Por Tottus,Tottus,,sals vinagret mostaz pimient alacen doypack 190 g
pepinillos salz-dill-gurken 720 ml,S/  36.30,,TOTTUS,Tottus,,pepinill salz-dill-gurk 720 ml
harina de ajonjolí 250 g,S/  10,,Arroz Extra Tottus 750 g,Tottus,,harin ajonjol 250 g
perejil 7 g,S/  4.50,,Por Tottus,Tottus,,perejil 7 g
harina de quinua 250 gr,S/  10.49,,TOTTUS,Tottus,,harin quinu 250 gr
sopa instantánea ajinomen sabor pollo 80 g,S/  1.60,,Ajonjolí Tottus 20 g,Tottus,,sop instantane ajinom sabor poll 80 g
