Lista de Productos,Precios,Descuento,Marca,Supermercado
Sopa de Gallina Criolla con Fideos Ajinomen Sobre 80 g,S/1.60,0,Ajinomen,Metro
Sopa Instantánea Ajinomen Sabor Carne 80g,S/1.60,0,Ajinomen,Metro
Cubo Sabor Gallina Maggi 8un.,S/3.50,22 %,Maggi,Metro
Caldo de Costilla Doña Gusta Caja 6un,S/1.70,0,Doña Gusta,Metro
Concentrado en Polvo Doña Gusta Sabor Carne 6un,S/1.70,0,Doña Gusta,Metro
Frijol Castilla Tesoro Del Campo Bolsa 500 g,S/5.80,0,Tesoro del Campo,Metro
Papa Seca Costeño Bolsa 500 g,S/7.90,0,Costeño,Metro
Quinua Costeño Bolsa 500 g,S/9.50,0,Costeño,Metro
Arveja Verde Costeño Bolsa 500 g,S/3.28,20 %,Costeño,Metro
Frijol Canario Costeño Bolsa 500 g,S/8.30,0,Costeño,Metro
Quinua Tesoro Del Campo Bolsa 500 g,S/9.69,0,Tesoro del Campo,Metro
Frijol Canario Tesoro Del Campo Bolsa 500 g,S/8.20,0,Tesoro del Campo,Metro
Trigo Mote Tesoro Del Campo Bolsa 500 g,S/3.50,0,Tesoro del Campo,Metro
Arroz Superior Valle Norte Primera Cosecha Bolsa 750 g,S/. 3.50,0,Valle Norte,Metro
Arroz Gran Reserva Extra Valle Norte Bolsa 750 g,S/. 4.30,0,Valle Norte,Metro
Arroz Integral Molino Rojo Bolsa 1 Kg,S/. 4.90,0,Molino Rojo,Metro
Aceite de Oliva El Olivar Extra Virgen 500ml,S/21.90,15 %,El Olivar,Metro
Galletas Saladas Ritz 52.5g,S/1.28,20 %,Ritz,Metro
Ketchup B&D 1kg,S/13.20,0,B&D,Metro
Garbanzos Guisine & Co 500g,S/4.90,9 %,Cuisine & Co,Metro
Filete de Atún en Agua Primor 140g,S/6.20,0,primor,Metro
Crema de Leche Oquendo 236ml,S/6.00,0,Oquendo,Metro
Chifles Crickets Leche de Tigre 250g,S/10.60,0,Crickets,Metro
Fideos Cuisine &Co Spaguetti 950g,S/5.30,1 %,cuisine---co,Metro
Fideos Cuisine &Co Canuto 450g,S/3.70,0,cuisine---co,Metro
Premezcla Blanca Flor Keke Casero Sabor Vainilla 750g,S/8.65,0,Blanca Flor,Metro
Pastinas Nicolini Corbata Grande 225g,S/1.70,0,Nicolini,Metro
Pack x6 Filete de Atún en Agua Light Real 140g,S/29.90,16 %,real,Metro
Tripack Menestras Máxima 500g: Lenteja + Frejol Canario + Maíz Pop Corn,S/13.90,9 %,Máxima,Metro
Tripack Menestras Cuisine & Co 500g: Lenteja + Frijol Canario + Maíz Pop Corn,S/14.90,10 %,Cuisine & Co,Metro
Tripack Menestras Máxima 500g: Arveja + Frejol Canario + Quinua,S/15.50,12 %,Máxima,Metro
Pack x6 Trozos Atún Aceite Vegetal Campomar 150g,S/31.90,7 %,Campomar,Metro
Tripack Filete de Atún Real en Agua 80g,S/12.90,0,Real,Metro
Trozos de Atún en Aceite Vegetal Marinero 170g,S/4.90,9 %,Marinero,Metro
Sixpack Galletas Rellenas Sublime 46g,S/4.90,28 %,Sublime,Metro
Kétchup B&D 200g,S/3.36,20 %,B&D,Metro
